price,rsi,upper_bb,lower_bb,gain_loss
0.0012732,78.86132724,0.001405017,0.000889769,1
0.00128808,79.38555201,0.001365138,0.000982064,1
0.00126622,76.38846391,0.001331855,0.001053515,0
0.00126322,75.96460132,0.001328533,0.001078119,0
0.00128455,76.94416451,0.001330215,0.001096464,1
0.00126555,74.04916355,0.001335566,0.001097623,0
0.00125563,72.51509697,0.00133442,0.00111229,0
0.00124662,71.07484728,0.001334445,0.001121589,0
0.00121911,66.71771255,0.00132252,0.00114522,0
0.00125614,69.43397553,0.00131418,0.001166296,1
0.0012732,70.62348768,0.0013036,0.00119064,1
0.00130618,72.82516255,0.001303717,0.001204135,1
0.00130618,72.82516255,0.001311737,0.001202242,0
0.00128619,69.18041363,0.001314947,0.001203514,0
0.00127967,67.98526901,0.001315989,0.001207893,0
0.00126048,64.45578461,0.001316222,0.001208909,0
0.00126048,64.45578461,0.001315822,0.001212008,0
0.00123576,59.81640794,0.001312676,0.001217668,0
0.00129946,66.50652341,0.001313922,0.001224387,1
0.00134093,70.00741052,0.001327974,0.001218711,1
0.00135534,71.13638276,0.001343245,0.001211654,1
0.00128619,59.55187406,0.001343092,0.001211618,0
0.00123576,52.79893995,0.001344021,0.001207643,0
0.00118912,47.44091875,0.001350494,0.00119376,0
0.00117801,46.23723802,0.001355424,0.001178176,0
0.00110568,39.25434973,0.001373043,0.00114457,0
0.00107274,36.54734592,0.001391028,0.001108296,0
0.00107733,37.1972563,0.001402235,0.00108016,1
0.00106369,36.01668088,0.001412897,0.001053956,0
0.00105922,35.61772321,0.001418726,0.001028435,0
0.00100038,30.7838439,0.001427352,0.000992527,0
0.00092682,26.02803152,0.001437301,0.000944642,0
0.00090034,24.55726797,0.001442585,0.000898774,0
0.00089713,24.37743831,0.001443261,0.000859192,0
0.00086039,22.35926861,0.001442941,0.000817584,0
0.0008488,21.74760859,0.001439969,0.000779388,0
0.00082926,20.71855551,0.001432939,0.000743296,0
0.00082384,20.42978721,0.001424215,0.000710828,0
0.0008106,19.70720307,0.00139985,0.000686307,0
0.00079525,18.87373767,0.001359895,0.000671694,0
0.00077093,17.60345501,0.001307761,0.000665387,0
0.00074585,16.3791688,0.001265152,0.000653962,0
0.00074806,16.92743577,0.001225415,0.000644929,1
0.00073284,16.14246322,0.001190011,0.000634705,0
0.00071822,15.40353686,0.001150028,0.000628709,0
0.00070027,14.52444806,0.001121864,0.000616332,0
0.00068691,13.88909806,0.001095939,0.000603674,0
0.00067047,13.12808053,0.001063368,0.000595559,0
0.00066516,12.88255314,0.00102673,0.000592344,0
0.00063984,11.75372433,0.000984168,0.000592968,0
0.00061788,10.86454188,0.000952221,0.000586665,0
0.00061487,10.74455804,0.000933287,0.000574404,0
0.00061487,10.74455804,0.000915326,0.000563818,0
0.00062246,13.5370134,0.000892441,0.000559236,1
0.00061337,13.01196282,0.000874627,0.000552348,0
0.00061637,14.19482411,0.000855255,0.000548477,1
0.00063024,19.63580004,0.000836049,0.000547781,1
0.0006271,19.33685793,0.000814696,0.00054946,0
0.0006271,19.33685793,0.00079287,0.000552936,0
0.0006334,22.09664101,0.000771081,0.00055854,1
0.0006334,22.09664101,0.000752439,0.000563429,0
0.0006334,22.09664101,0.000737738,0.000566885,0
0.0006334,22.09664101,0.000719411,0.000573746,0
0.0006334,22.09664101,0.000702191,0.000581022,0
0.0006334,22.09664101,0.000686081,0.00058865,0
0.0006334,22.09664101,0.000672705,0.000595339,0
0.0006334,22.09664101,0.000660968,0.000601725,0
0.00064299,28.80483816,0.000653968,0.000605977,1
0.00068879,50.65743,0.000663365,0.000598943,1
0.00071822,59.30186229,0.000685599,0.000584547,1
0.00071822,59.30186229,0.000702059,0.000578121,0
